,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12 bulbs ,,,,,,,,,,,,,,,,,,,,,,,
SAMPLE,PN,Relative Light intensity ,,,SAMPLE BEFORE RAYONET,,,,,,PN,,,,,,,SAMPLE AFTER RAYONET,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
kobs(m-1),kobs (m-1),λ,Irradiation ,I corrected,λ,"Abs, t=0","Abs, t=0 corrected",S,I*Ab*S,Rabs,λ,Abs ( Ref. Sensitizer),S,I*Abs(ref)*S,Rabs(ref),φ1O2 (t=0),,λ,"Abs, t=300min","Abs, t=300min corrected",S,I300*Abs*S,Rabs,φ1O2 (t=end),[1O2]ss,
,,737,11.6283333333333,11.6283333333333,737,-0.1399736553,0.0000,1.18,0.00,,737,0.001389345503,1.00,0.02,,,,737,-0.08801825345,0,1.11,0.00,,,,
,,736,6.364,6.364,736,-0.1400207281,0.0000,1.18,0.00,,736,0.001507156412,1.00,0.01,,,,736,-0.08809860796,0,1.11,0.00,,,,
,,735,7.205,7.205,735,-0.1400906295,0.0000,1.18,0.00,,735,0.001302540069,1.00,0.01,,,,735,-0.08793293685,0,1.11,0.00,,,,
,,734,1.802,1.802,734,-0.1401142031,0.0000,1.18,0.00,,734,0.001443935558,1.00,0.00,,,,734,-0.08802484721,0,1.11,0.00,,,,
,,733,7.005,7.005,733,-0.1401954144,0.0000,1.18,0.00,,733,0.001336579793,1.00,0.01,,,,733,-0.08797492087,0,1.11,0.00,,,,
,,732,-14.2066666666667,0,732,-0.1402568221,0.0000,1.18,0.00,,732,0.001397084212,1.00,0.00,,,,732,-0.08797255158,0,1.11,0.00,,,,
,,731,-4.2,0,731,-0.1402577907,0.0000,1.18,0.00,,731,0.001335203648,1.00,0.00,,,,731,-0.08792760968,0,1.11,0.00,,,,
,,730,2.56166666666667,2.56166666666667,730,-0.1403731555,0.0000,1.18,0.00,,730,0.001400252571,1.00,0.00,,,,730,-0.08802179992,0,1.11,0.00,,,,
,,729,8.504,8.504,729,-0.1406994164,0.0000,1.18,0.00,,729,0.001185563277,1.00,0.01,,,,729,-0.08809451014,0,1.11,0.00,,,,
,,728,4.725,4.725,728,-0.1403432041,0.0000,1.18,0.00,,728,0.001145124552,1.00,0.01,,,,728,-0.0879630819,0,1.11,0.00,,,,
,,727,8.988,8.988,727,-0.1403330117,0.0000,1.18,0.00,,727,0.001266971231,1.00,0.01,,,,727,-0.08806677908,0,1.11,0.00,,,,
,,726,-1.43,0,726,-0.1401225328,0.0000,1.18,0.00,,726,0.001321312273,1.00,0.00,,,,726,-0.08793153614,0,1.11,0.00,,,,
,,725,-2.56,0,725,-0.1400973797,0.0000,1.18,0.00,,725,0.001293400885,1.00,0.00,,,,725,-0.08804302663,0,1.11,0.00,,,,
